dataset,synth,regime,n,axis,eps_frac_of_worst,eps_abs,worst_degradation,alpha_star,T,n_seeds
adult,ctgan,fixed,2000,var_ratio,0.05,0.019439899368396425,0.3887979873679285,0.13993518624971535,8,2
adult,ctgan,fixed,2000,var_ratio,0.1,0.03887979873679285,0.3887979873679285,0.12987037249943073,8,2
adult,ctgan,fixed,2000,var_ratio,0.25,0.09719949684198212,0.3887979873679285,0.0996759312485768,8,2
adult,ctgan,fixed,2000,w1,0.05,0.007882167192826948,0.15764334385653894,0.8935070357097371,8,2
adult,ctgan,fixed,2000,w1,0.1,0.015764334385653896,0.15764334385653894,0.7870140714194742,8,2
adult,ctgan,fixed,2000,w1,0.25,0.039410835964134736,0.15764334385653894,0.4810541498016616,8,2
adult,ctgan,fixed,2000,tv_cat,0.05,0.0033942129629629656,0.06788425925925931,0.9073540839151872,8,2
adult,ctgan,fixed,2000,tv_cat,0.1,0.006788425925925931,0.06788425925925931,0.8147081678303744,8,2
adult,ctgan,fixed,2000,tv_cat,0.25,0.016971064814814828,0.06788425925925931,0.5367704195759359,8,2
adult,ctgan,fixed,2000,corr_frob,0.05,0.0020254123455772043,0.04050824691154409,0.9750000000000001,8,2
adult,ctgan,fixed,2000,corr_frob,0.1,0.004050824691154409,0.04050824691154409,0.95,8,2
adult,ctgan,fixed,2000,corr_frob,0.25,0.010127061727886022,0.04050824691154409,0.875,8,2
adult,ctgan,fixed,2000,cat_support,0.05,0.017783505154639178,0.3556701030927835,0.8985294117647058,8,2
adult,ctgan,fixed,2000,cat_support,0.1,0.035567010309278356,0.3556701030927835,0.7970588235294116,8,2
adult,ctgan,fixed,2000,cat_support,0.25,0.08891752577319588,0.3556701030927835,0.4980978260869563,8,2
adult,ctgan,fixed,2000,tstr_auc,0.05,0.0036866942458481434,0.07373388491696287,0.87643812310336,8,2
adult,ctgan,fixed,2000,tstr_auc,0.1,0.007373388491696287,0.07373388491696287,0.75287624620672,8,2
adult,ctgan,fixed,2000,tstr_auc,0.25,0.018433471229240717,0.07373388491696287,0.12258258926214498,8,2
adult,ctgan,fixed,2000,c2st_auc,0.05,2.0067146305374763e-05,0.0004013429261074952,0.48250000000000004,8,2
adult,ctgan,fixed,2000,c2st_auc,0.1,4.0134292610749526e-05,0.0004013429261074952,0.46499999999999997,8,2
adult,ctgan,fixed,2000,c2st_auc,0.25,0.0001003357315268738,0.0004013429261074952,0.4125,8,2
adult,ctgan,fresh,2000,var_ratio,0.05,0.029099304853285282,0.5819860970657056,0.23028151555039733,8,2
adult,ctgan,fresh,2000,var_ratio,0.1,0.058198609706570564,0.5819860970657056,0.14329562456763326,8,2
