dataset,synth,regime,alpha,seed,generation,n,wallclock_sec,peak_mem_mb,gen0_shared,mean_shift,var_ratio,w1,tv_cat,corr_frob,cat_support,coverage,c2st_auc,tstr_auc,trtr_auc,n_nan_metrics,ctgan_lost_support,status,error,run_ts,sampled_with_replacement,effective_pool_size,_src,sampled_with_replacement.1
adult,gaussian_copula,fixed,0.0,10,0,2000,10.4711,39.26,True,0.0158495252855037,0.9637952890324804,0.0268646726081282,0.0285482310668877,0.1160754928460546,0.9072164948453608,0.91125,0.9715974018159508,0.6729243788783429,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.0,10,1,2000,8.5118,39.83,False,0.0244204233025328,1.0178694590571584,0.038517981462742,0.0369386401326699,0.1433254135699604,0.8969072164948454,0.894,0.9751888792604568,0.5442884252539579,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.0,10,2,2000,9.7807,40.02,False,0.0373830556153488,1.0716834913328042,0.0555566772959666,0.0367600884466556,0.1232156707503664,0.8865979381443299,0.901,0.97630457859751,0.5262247541784774,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.0,10,3,2000,9.146,39.65,False,0.0390103488073648,0.9059571725068492,0.0580441470804917,0.0369053689883913,0.1467460122986134,0.8350515463917526,0.89875,0.9789779428532016,0.4705539010902336,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.0,10,4,2000,9.1371,39.65,False,0.0425474250817121,0.8453659687411438,0.0577915218544887,0.042442025981205,0.1391458283104029,0.8350515463917526,0.896,0.9819378425738664,0.3399551976531317,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.0,10,5,2000,8.4928,39.65,False,0.0718920559791524,0.8417578130700939,0.0818116513987025,0.0534746061359867,0.1472045983845478,0.7938144329896907,0.89275,0.9795241363879832,0.4268490917385322,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.0,10,6,2000,9.2858,39.65,False,0.0501861226794008,0.8515782923125962,0.0705144984200361,0.0553514718076285,0.1531467899450465,0.7835051546391752,0.8885,0.9791104690776294,0.3839915629917693,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.0,10,7,2000,9.0316,39.65,False,0.0506385164485656,0.9053466795322768,0.0672178301423881,0.0548731343283582,0.1634109833069979,0.7731958762886598,0.89125,0.9893744930282136,0.4752403338349836,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.0,10,8,2000,9.5157,39.65,False,0.0664149651700311,0.8118381821869719,0.0811635990082001,0.0516462479270315,0.1490995297685608,0.7422680412371134,0.87875,0.98299221586491,0.3361207661047895,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.0,10,9,2000,9.5736,39.65,False,0.0728958603698356,0.8069786885610917,0.0872993640630097,0.0602552515201768,0.1512573917097718,0.7422680412371134,0.878,0.98523310898364,0.3839548472803427,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
