dataset,synth,regime,alpha,seed,generation,n,wallclock_sec,peak_mem_mb,gen0_shared,mean_shift,var_ratio,w1,tv_cat,corr_frob,cat_support,coverage,c2st_auc,tstr_auc,trtr_auc,n_nan_metrics,ctgan_lost_support,status,error
adult,gaussian_copula,fixed,0.0,0,0,2000,11.7944,39.26,True,0.030293245515759664,1.0383456578531487,0.03793864179977877,0.02192333471531233,0.10193829786373863,0.8762886597938144,0.908,0.9740810526793098,0.686186323318817,0.8976610190471932,0,,ok,
adult,gaussian_copula,fixed,0.0,0,1,2000,43.7909,39.83,False,0.013738717426482638,0.9209503705923598,0.037503319864318894,0.03835668877833057,0.12919974688252836,0.845360824742268,0.90075,0.9718442090011178,0.5370276310642716,0.8976610190471932,0,,ok,
adult,gaussian_copula,fixed,0.0,0,2,2000,18.1163,40.02,False,0.023520899066982626,0.8888009592988007,0.047023679821908006,0.03482939469320065,0.15658950748819073,0.8144329896907216,0.899,0.9834419844523489,0.412526850003075,0.8976610190471932,0,,ok,
adult,gaussian_copula,fixed,0.0,0,3,2000,8.2569,39.65,False,0.03276083402555128,0.8342860616799328,0.05157435729623399,0.04224492122719735,0.17893503030093327,0.7835051546391752,0.89975,0.9802550123113231,0.41138876129450686,0.8976610190471932,0,,ok,
adult,gaussian_copula,fixed,1.0,0,0,2000,11.7944,39.26,True,0.030293245515759664,1.0383456578531487,0.03793864179977877,0.02192333471531233,0.10193829786373863,0.8762886597938144,0.908,0.9740810526793098,0.686186323318817,0.8976610190471932,0,,ok,
adult,gaussian_copula,fixed,1.0,0,1,2000,2.5472,39.45,False,0.017159545634500586,1.0240195053682895,0.03171953307995716,0.028277674129353243,0.08446825229183517,0.8865979381443299,0.89825,0.9729316235669506,0.6638812335902078,0.8976610190471932,0,,ok,
adult,gaussian_copula,fixed,1.0,0,2,2000,1.6274,40.02,False,0.021033519187091804,0.9681590856861225,0.036548889678026095,0.02872146213377557,0.08147569988850738,0.9072164948453608,0.9005,0.9710365607701797,0.6505996528004975,0.8976610190471932,0,,ok,
adult,gaussian_copula,fixed,1.0,0,3,2000,1.6044,39.65,False,0.02406458480731059,0.9856795486020741,0.03597154324382617,0.03075891376451079,0.08587210816215914,0.8969072164948454,0.90575,0.9668523800059982,0.7027261284606688,0.8976610190471932,0,,ok,
adult,tvae,fixed,0.0,0,0,2000,14.5967,48.7,True,0.08460387967506056,0.6360754703755883,0.18389458313899532,0.029654090657821996,0.14070039192184372,0.8969072164948454,0.8765,1.0,0.8390859204032224,0.8976610190471932,0,,ok,
adult,tvae,fixed,0.0,0,1,2000,11.2955,49.58,False,0.09099439755284754,0.6051045881303726,0.19980458095179685,0.04390301962410172,0.15269780961682675,0.8556701030927835,0.80925,0.9999992507494379,0.8085161240324918,0.8976610190471932,0,,ok,
