dataset,synth,regime,alpha,seed,generation,n,wallclock_sec,peak_mem_mb,gen0_shared,mean_shift,var_ratio,w1,tv_cat,corr_frob,cat_support,coverage,c2st_auc,tstr_auc,trtr_auc,n_nan_metrics,ctgan_lost_support,status,error,run_ts,sampled_with_replacement,effective_pool_size
adult,gaussian_copula,fixed,0.0,0,0,2000,20.9348,39.26,True,0.0302932455157596,1.0383456578531487,0.0379386417997787,0.0219233347153123,0.1019382978637386,0.8762886597938144,0.908,0.9740810526793098,0.686186323318817,0.8976610190471932,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
adult,gaussian_copula,fresh,0.35,9,7,2000,8.9982,39.65,False,0.0223599718300751,1.0016293861892358,0.0428999487113872,0.0354207089552238,0.1329106853975037,0.8865979381443299,0.90475,0.9687776175754076,0.6011870910705686,0.8955836965456941,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
adult,gaussian_copula,fresh,0.35,9,8,2000,8.6822,39.65,False,0.0165495389267765,0.9696031654533668,0.041505714537752,0.0316524668325041,0.1435753215661524,0.8762886597938144,0.892,0.961602912317585,0.5664574701589777,0.8955836965456941,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
adult,gaussian_copula,fresh,0.35,9,9,2000,8.8699,39.65,False,0.0346467118865132,0.881432703337368,0.0478857662927608,0.034930451907131,0.1361335767742321,0.8762886597938144,0.89725,0.9714946678638746,0.5883266919419372,0.8955836965456941,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
adult,gaussian_copula,fresh,0.35,9,10,2000,8.9871,39.65,False,0.0288074368509177,0.9463605999807362,0.0428075055135044,0.034158616639027,0.1505411637453572,0.8556701030927835,0.90675,0.9725557304099368,0.6276670522253458,0.8955836965456941,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
adult,gaussian_copula,fresh,0.35,9,11,2000,8.6329,39.65,False,0.036525117680472,0.9327280998916696,0.0431233718275053,0.028587479270315,0.1258993594366865,0.8247422680412371,0.897,0.968768807693798,0.551302896358234,0.8955836965456941,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
adult,gaussian_copula,fresh,0.35,9,12,2000,8.827,39.65,False,0.0378562078195361,0.8551845881854861,0.0452677044446444,0.0316816611387506,0.1427172795565187,0.845360824742268,0.897,0.9760922178131866,0.5392333274282232,0.8955836965456941,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
adult,gaussian_copula,fixed,0.0,10,0,2000,10.4711,39.26,True,0.0158495252855037,0.9637952890324804,0.0268646726081282,0.0285482310668877,0.1160754928460546,0.9072164948453608,0.91125,0.9715974018159508,0.6729243788783429,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
adult,gaussian_copula,fixed,0.0,10,1,2000,8.5118,39.83,False,0.0244204233025328,1.0178694590571584,0.038517981462742,0.0369386401326699,0.1433254135699604,0.8969072164948454,0.894,0.9751888792604568,0.5442884252539579,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
adult,gaussian_copula,fixed,0.0,10,2,2000,9.7807,40.02,False,0.0373830556153488,1.0716834913328042,0.0555566772959666,0.0367600884466556,0.1232156707503664,0.8865979381443299,0.901,0.97630457859751,0.5262247541784774,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
adult,gaussian_copula,fixed,0.0,10,3,2000,9.146,39.65,False,0.0390103488073648,0.9059571725068492,0.0580441470804917,0.0369053689883913,0.1467460122986134,0.8350515463917526,0.89875,0.9789779428532016,0.4705539010902336,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
adult,gaussian_copula,fixed,0.0,10,4,2000,9.1371,39.65,False,0.0425474250817121,0.8453659687411438,0.0577915218544887,0.042442025981205,0.1391458283104029,0.8350515463917526,0.896,0.9819378425738664,0.3399551976531317,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
adult,gaussian_copula,fixed,0.0,10,5,2000,8.4928,39.65,False,0.0718920559791524,0.8417578130700939,0.0818116513987025,0.0534746061359867,0.1472045983845478,0.7938144329896907,0.89275,0.9795241363879832,0.4268490917385322,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
adult,gaussian_copula,fixed,0.0,10,6,2000,9.2858,39.65,False,0.0501861226794008,0.8515782923125962,0.0705144984200361,0.0553514718076285,0.1531467899450465,0.7835051546391752,0.8885,0.9791104690776294,0.3839915629917693,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
adult,gaussian_copula,fixed,0.0,10,7,2000,9.0316,39.65,False,0.0506385164485656,0.9053466795322768,0.0672178301423881,0.0548731343283582,0.1634109833069979,0.7731958762886598,0.89125,0.9893744930282136,0.4752403338349836,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
adult,gaussian_copula,fixed,0.0,10,8,2000,9.5157,39.65,False,0.0664149651700311,0.8118381821869719,0.0811635990082001,0.0516462479270315,0.1490995297685608,0.7422680412371134,0.87875,0.98299221586491,0.3361207661047895,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000
