dataset,synth,regime,alpha,seed,generation,n,wallclock_sec,peak_mem_mb,gen0_shared,mean_shift,var_ratio,w1,tv_cat,corr_frob,cat_support,coverage,c2st_auc,tstr_auc,trtr_auc,n_nan_metrics,ctgan_lost_support,status,error,run_ts,sampled_with_replacement,effective_pool_size
adult,gaussian_copula,fixed,0.0,0,0,250,3.6221,12.26,True,0.0645908442962151,0.8947257598891863,0.0910488831287662,0.0663327805417357,0.1604751155117316,0.6597938144329897,0.87075,0.743049363259118,0.6236831680623663,0.8509015936323416,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.05,5,11,1000,8.1772,24.03,False,0.1145128878533864,0.8016039671427445,0.1347834747009273,0.0710093974571586,0.1887537622283484,0.6185567010309279,0.855,0.9600234191502106,0.3947760820218503,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.05,5,10,1000,9.106,24.03,False,0.0924224568592565,0.8042446198521959,0.1242570507638618,0.0787397042564953,0.2100622404320749,0.6288659793814433,0.86075,0.960839370596433,0.4902925625901255,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.05,5,9,1000,8.3015,24.03,False,0.0755112775450466,0.7990612637248963,0.1003147132084558,0.0756092454394693,0.2471534443127296,0.6288659793814433,0.863,0.9573573411573087,0.5266553114587244,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.05,5,8,1000,8.4364,24.03,False,0.0739775841638594,0.7629224350377699,0.1063258815803493,0.0657909756771697,0.2156975633539968,0.6082474226804123,0.84525,0.9650125751077002,0.516442115123949,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.05,5,7,1000,7.706,24.03,False,0.0678785243735067,0.8987932720962872,0.0987738165766336,0.0577158651188502,0.1889211449730918,0.6288659793814433,0.8675,0.9573600231653496,0.4860224270055596,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.05,5,6,1000,8.6488,24.03,False,0.1059695845156631,0.7632988544776452,0.1336265215639792,0.053031578220011,0.1963080773037727,0.6288659793814433,0.876,0.9635347616772156,0.4235481525899722,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.05,5,5,1000,8.6285,24.03,False,0.0667657739329147,0.8565337542580559,0.0873279035991603,0.0629440989496959,0.1823357306489836,0.6185567010309279,0.881,0.9637536783335277,0.4226707782144179,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.05,5,4,1000,8.7456,24.03,False,0.0550031675115587,0.8386953352715582,0.0788725749432806,0.0559489358761746,0.1540224453959335,0.6391752577319587,0.8735,0.9665004775684316,0.4300110684757198,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.05,5,3,1000,8.7095,24.03,False,0.0571624319947916,1.0621698544788911,0.0891025636643513,0.0497491017136539,0.1553692328347198,0.6494845360824743,0.8785,0.962412431312469,0.5014609574959256,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.05,5,2,1000,7.5625,24.03,False,0.0527100103079613,0.9310590469590816,0.0821730319738804,0.0436779297954671,0.1962283322181759,0.7319587628865979,0.88825,0.9553317680846408,0.5107468198620984,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.05,5,1,1000,8.3374,23.93,False,0.0563235628254816,0.9740896585151272,0.0753979300016499,0.0481794499723604,0.1455220564618846,0.7525773195876289,0.88675,0.9509666469980076,0.5872702301275228,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.05,5,12,1000,8.653,24.03,False,0.1244965145580946,0.8105357203714995,0.1510043365498508,0.0770000690989496,0.1699719818682641,0.6082474226804123,0.86675,0.9648145745140942,0.4570458302556607,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.05,5,0,1000,7.8734,23.83,True,0.0484873465555336,0.8052718547451193,0.0600745445941327,0.0309832089552238,0.1018592412741076,0.845360824742268,0.8775,0.9496619850866314,0.6812030833854456,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.02,5,11,1000,8.5978,24.03,False,0.0546455209628487,0.8562817474048169,0.0943332007459025,0.0832928413488114,0.2135137685044083,0.6907216494845361,0.853,0.9675397286841066,0.4257375891388631,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.02,5,10,1000,8.8447,24.03,False,0.0588931787040225,0.9112474193118644,0.0936933384924001,0.0852634742951907,0.1942757851382653,0.6804123711340206,0.86025,0.974723334220556,0.406879154038538,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.02,5,9,1000,8.4969,24.03,False,0.0800495168868674,1.0035720663374574,0.1222645324338054,0.0791153952459922,0.1840686297069358,0.6907216494845361,0.89,0.9689510229151668,0.4557115419641568,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.02,5,8,1000,9.118,24.03,False,0.0432634291312339,0.9438074806125486,0.0948058718049816,0.0775924543946932,0.184781907319911,0.6907216494845361,0.883,0.9756126088866014,0.4363513145470402,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.02,5,7,1000,8.2165,24.03,False,0.0405116040383075,0.8927566543042035,0.0763656615302145,0.0805699281370923,0.2255504253738797,0.6907216494845361,0.847,0.9757995034469112,0.3409891055305269,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.02,5,6,1000,8.1214,24.03,False,0.0617853318044928,0.8878527358548157,0.0822468749786751,0.0721522940851299,0.2139111759782387,0.7010309278350515,0.86625,0.9642634668618736,0.3179293112407904,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.02,5,5,1000,8.6237,24.03,False,0.0434868375798643,0.8449044630861845,0.0679931366445495,0.0656266583747927,0.1899480386762071,0.7319587628865979,0.873,0.9702237437307838,0.3813840262790081,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.02,5,4,1000,8.316,24.03,False,0.0313598545273111,0.8881962002174882,0.0634353265626091,0.0644456191265892,0.1798244802725316,0.7319587628865979,0.86975,0.9629736369949636,0.3971822396138136,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.02,5,3,1000,8.3541,24.03,False,0.0366829838057302,0.9675880462868884,0.0671464237807103,0.0514182559425096,0.203268074074553,0.7731958762886598,0.889,0.9634492524208588,0.4734247091230544,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.02,5,2,1000,8.4922,24.03,False,0.0383322087464875,0.9377891059171668,0.0601451717470508,0.0595908651188502,0.1584247601070617,0.7731958762886598,0.881,0.9559761070163688,0.4520586237141797,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.02,5,1,1000,7.5364,23.93,False,0.0254079361619282,0.9833596057369868,0.0497512158087199,0.0407660309563294,0.1195243547245968,0.8247422680412371,0.88575,0.9635824978203286,0.5344781838520891,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.02,5,12,1000,8.5904,24.03,False,0.0560405061386012,0.949386758772064,0.0977724246388149,0.0802904919845218,0.219581164300069,0.6494845360824743,0.86775,0.9746054158670368,0.4050312391696846,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.02,5,0,1000,7.8734,23.83,True,0.0484873465555336,0.8052718547451193,0.0600745445941327,0.0309832089552238,0.1018592412741076,0.845360824742268,0.8775,0.9496619850866314,0.6812030833854456,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.1,5,0,1000,7.8734,23.83,True,0.0484873465555336,0.8052718547451193,0.0600745445941327,0.0309832089552238,0.1018592412741076,0.845360824742268,0.8775,0.9496619850866314,0.6812030833854456,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.1,5,2,1000,8.4626,24.03,False,0.0448829918977949,0.7003457657900212,0.0773451121156961,0.0475646766169154,0.1748333103678517,0.7835051546391752,0.87575,0.956023825159428,0.522385733166207,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.35,5,0,1000,7.8734,23.83,True,0.0484873465555336,0.8052718547451193,0.0600745445941327,0.0309832089552238,0.1018592412741076,0.845360824742268,0.8775,0.9496619850866314,0.6812030833854456,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.2,5,12,1000,9.6577,24.03,False,0.0590312997168485,0.8770818604075906,0.098949549031449,0.0683782476506357,0.1808652931166196,0.6082474226804123,0.84475,0.9561505275392816,0.4753892947213428,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.2,5,11,1000,7.3722,24.03,False,0.071979588822576,0.7649687157643196,0.0973622037056933,0.0627553897180762,0.171213621188271,0.6185567010309279,0.847,0.9485716408177792,0.5027159791890102,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.2,5,10,1000,9.5816,24.03,False,0.0658062433752322,0.8402787258276962,0.0865324527271097,0.0624345632946379,0.1900092719718108,0.6082474226804123,0.8585,0.9549867430502555,0.5952016761246777,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.2,5,9,1000,9.3003,24.03,False,0.0781815178148333,0.986734125378214,0.0988023521708918,0.067652708678828,0.1781128605657785,0.6288659793814433,0.85375,0.9557824084356604,0.5796733888326279,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.2,5,8,1000,8.7321,24.03,False,0.050229786182751,0.8649092448616992,0.0811101991919812,0.0598666390270867,0.1784090143955936,0.6082474226804123,0.87075,0.9610295681666452,0.492697605597992,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.2,5,7,1000,8.3437,24.03,False,0.0472900225067115,0.8200550770048403,0.0721404723930952,0.067191818684356,0.1590549696878503,0.6185567010309279,0.85075,0.9523167140455088,0.5583669664548213,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.2,5,6,1000,7.6728,24.03,False,0.048312939680753,0.8978458602108735,0.070417045116043,0.056335889994472,0.1600961101437819,0.6391752577319587,0.86825,0.961023691149026,0.5359962473920371,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.2,5,5,1000,8.5103,24.03,False,0.0565241112072835,0.8317430579787647,0.0763824958850365,0.0484288280818131,0.1656888978553381,0.6701030927835051,0.8625,0.9622942429581404,0.5916645762751203,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.2,5,4,1000,7.0636,24.03,False,0.0463609681757297,0.8012949106422512,0.0769182491082223,0.046252487562189,0.1748587677122934,0.6907216494845361,0.86475,0.95853953970154,0.5725053673780641,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.2,5,3,1000,9.2497,24.03,False,0.0307960240406836,0.9304577394986048,0.0669449163455212,0.0497406025428413,0.1376992769841238,0.7216494845360825,0.86125,0.961568066781064,0.6000951592563653,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.1,5,1,1000,8.2163,23.93,False,0.0246460502156703,0.9082869401679836,0.0433695637268974,0.0405988805970149,0.1027769445497676,0.8144329896907216,0.894,0.960307487001846,0.5480963362571716,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.2,5,2,1000,8.1382,24.03,False,0.0415294826450987,1.0162401905306435,0.0604440673784476,0.0473622166943062,0.1387916937324479,0.7319587628865979,0.884,0.9524874535573858,0.6104467607104647,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.2,5,0,1000,7.8734,23.83,True,0.0484873465555336,0.8052718547451193,0.0600745445941327,0.0309832089552238,0.1018592412741076,0.845360824742268,0.8775,0.9496619850866314,0.6812030833854456,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.1,5,12,1000,8.5035,24.03,False,0.0954101979866001,0.848767345090216,0.1311749253412137,0.0747529021558872,0.1629586679061751,0.6701030927835051,0.871,0.9755944648322056,0.4282495666562595,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.1,5,11,1000,8.2225,24.03,False,0.092799656076767,0.9136540778942122,0.1311737186449059,0.0648984936428966,0.1135316408731521,0.6597938144329897,0.87325,0.9699210098231874,0.4891334279112576,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.1,5,10,1000,8.4964,24.03,False,0.0930536649364832,0.8781777577228921,0.1163457108411451,0.0787425373134328,0.1442423304942994,0.6597938144329897,0.86175,0.9709356278650124,0.38134301614062,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.1,5,9,1000,8.6335,24.03,False,0.0812162506584121,0.8273735936489598,0.0969583633513833,0.0631012990602542,0.1567763857225208,0.6907216494845361,0.87,0.975442472376532,0.4911165352746853,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.1,5,8,1000,8.528,24.03,False,0.0627898430385245,0.8180476515258572,0.0800322428938628,0.0659158374792703,0.1713078715951278,0.6907216494845361,0.86925,0.9627336152753786,0.5523243471192525,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.1,5,7,1000,8.187,24.03,False,0.0617834542976733,0.7726566320547138,0.0873129836661634,0.0543441127694859,0.1732782532466638,0.6804123711340206,0.86525,0.9614214563415264,0.4186088403827718,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.1,5,6,1000,8.2499,24.03,False,0.0676219827751034,0.7919869042238572,0.0978528957098156,0.0561082089552238,0.1390476729195192,0.7216494845360825,0.87175,0.9662557308346812,0.5441914564375296,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.1,5,5,1000,8.6886,24.03,False,0.0804500861325808,0.8031061821826609,0.1054859561665924,0.056378178551686,0.1537436633343093,0.7216494845360825,0.8805,0.962301514979942,0.4157477685698562,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.1,5,4,1000,8.0296,24.03,False,0.064764628303944,0.8362856942745038,0.0877202228395307,0.0655210060807075,0.1626747872832093,0.711340206185567,0.85775,0.9651033403798144,0.4666589869636933,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.1,5,3,1000,8.4811,24.03,False,0.0462570195875421,0.7322293096859713,0.0729961636363581,0.0638714759535655,0.1884642348944209,0.7731958762886598,0.86525,0.956161912573414,0.4386991203833434,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.2,5,1,1000,7.8162,23.93,False,0.0342659034771594,1.120950660451962,0.0569045025421653,0.0415462271973465,0.1472322551173877,0.7319587628865979,0.8925,0.9484995596016796,0.5890504831853187,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.01,5,12,1000,8.2563,24.03,False,0.1003811284801969,0.7672535700264201,0.162783214315128,0.0894959922609176,0.2346699706286521,0.6185567010309279,0.80425,0.974071840267377,0.4338339935823559,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.01,5,11,1000,7.6256,24.03,False,0.0874695319939912,0.6982422149820312,0.1463278796682861,0.0827558043117744,0.2062477376539286,0.6391752577319587,0.795,0.9699949630448992,0.3689703131181434,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.01,5,10,1000,9.061,24.03,False,0.0968573973137104,0.804248891585905,0.1511559358770539,0.0800527915975677,0.2035475454525591,0.6391752577319587,0.80325,0.973952895910782,0.4488669465889989,0.8903155820299147,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,1.0,5,6,500,4.4502,16.23,False,0.0695893331664542,0.7764734184722037,0.0873017195774165,0.0548383084577114,0.1709042871101228,0.7216494845360825,0.8555,0.911732771380981,0.6865183382521459,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,1.0,5,5,500,5.6828,16.23,False,0.0413590713672775,0.9074088242391266,0.0659043423455682,0.046642482034273,0.1204746252279124,0.7010309278350515,0.8805,0.9015800013852968,0.6960807486018854,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,1.0,5,4,500,4.7664,16.23,False,0.0923264646063915,0.8404828256395366,0.0943217224872219,0.0532339690436705,0.1326473728682148,0.7422680412371134,0.8845,0.8928927369991277,0.5982874021968846,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,1.0,5,3,500,5.4797,16.23,False,0.0417340659128135,0.8789303672905793,0.0603825383197336,0.0595208678828081,0.1184437545751386,0.6907216494845361,0.8755,0.9097314353329268,0.5864806456405404,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,1.0,5,2,500,5.2116,16.23,False,0.0450775804624374,0.8892778947055154,0.0631304225224438,0.0575909342177998,0.0944223660919618,0.7319587628865979,0.86075,0.8918066759490181,0.7146532600994759,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,1.0,5,1,500,4.4371,16.17,False,0.0546174772091003,0.8227156663356978,0.0760318075299891,0.0624733278054173,0.106418180358263,0.711340206185567,0.87675,0.8933297102497982,0.5903816244158432,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,1.0,5,0,500,5.4597,16.11,True,0.0372115636357573,0.8968405882771799,0.0681430064964273,0.0549901879491431,0.155987488931465,0.7319587628865979,0.8625,0.8955648331070346,0.7429463217610219,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.75,5,12,500,5.1573,16.23,False,0.0388548608823351,1.0595265858994904,0.070236315679614,0.051629076838032,0.1265335939995911,0.7010309278350515,0.88875,0.9010343068282308,0.7016899914150798,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.75,5,11,500,5.9207,16.23,False,0.0504169328898937,1.1017639305102038,0.0772849023892995,0.0413928966279712,0.1144371035584623,0.6907216494845361,0.88225,0.9145501652347856,0.5912521801592754,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.75,5,10,500,4.8044,16.23,False,0.0268933282319071,0.8228391800812512,0.076172945108534,0.0487361802100608,0.1424139785115799,0.6804123711340206,0.895,0.902023598715562,0.639680400222235,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.75,5,9,500,5.1729,16.23,False,0.0485304539350596,1.0679621970240227,0.0745841773650003,0.0481333609729132,0.1024532289905911,0.7010309278350515,0.889,0.8991015876046767,0.6081491439404062,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,1.0,5,7,500,5.1677,16.23,False,0.0513277375469992,1.0477315360035433,0.0691489380544456,0.0629166666666666,0.104827146552024,0.7319587628865979,0.8885,0.8912564453374472,0.5209486736645939,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.75,5,8,500,5.3636,16.23,False,0.0312252640718221,1.0696447254936412,0.0632129382131033,0.0437993366500829,0.1175414517850301,0.6804123711340206,0.89025,0.9183960914474348,0.7208688366613722,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.75,5,6,500,4.4065,16.23,False,0.0324217525847073,0.9895770877610928,0.0637621467783898,0.0518092868988391,0.1449482513792787,0.6701030927835051,0.88525,0.8810470826617453,0.5823860898331179,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.75,5,5,500,4.7239,16.23,False,0.0702036255018604,1.229387951466938,0.0857468851813211,0.0438964897733554,0.1051297149986904,0.6907216494845361,0.892,0.8927187829088954,0.601510451586204,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.75,5,4,500,5.3803,16.23,False,0.0587475419183995,0.8425384122840524,0.0928466163371597,0.0516014372581536,0.1162209293355609,0.711340206185567,0.88425,0.916530045025021,0.6276744937132868,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.75,5,3,500,5.0098,16.23,False,0.0376716675819922,1.014574152883797,0.0631780644894267,0.0447037037037037,0.1173817416946157,0.7010309278350515,0.87775,0.8896925865461199,0.6524524849521313,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
adult,gaussian_copula,fixed,0.75,5,2,500,4.8338,16.23,False,0.0517054054021953,1.03206597409211,0.0845251987756511,0.0515880320619126,0.0903843521150652,0.6907216494845361,0.90775,0.9134998886146616,0.7204818137246739,0.8866828574212222,0,,ok,,2026-07-20T23:42:36.650950+00:00,False,20000
