dataset,synth,regime,alpha,seed,generation,n,wallclock_sec,peak_mem_mb,gen0_shared,mean_shift,var_ratio,w1,tv_cat,corr_frob,cat_support,coverage,c2st_auc,tstr_auc,trtr_auc,n_nan_metrics,ctgan_lost_support,status,error,run_ts
adult,gaussian_copula,fixed,0.0,0,0,2000,12.8823,39.26,True,0.0302932455157596,1.0383456578531487,0.0379386417997787,0.0219233347153123,0.1019382978637386,0.8762886597938144,0.908,0.9740810526793098,0.686186323318817,0.8976610190471932,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,1.0,2,9,2000,3.9671,24.21,False,0.0507174777691373,0.9439448972559028,0.0832857076166282,0.0368461538461538,0.1092704435213156,1.0,0.96,0.5012972226160018,0.660357142857143,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,1.0,2,10,2000,3.2092,24.21,False,0.0540411218735302,0.9527183161735888,0.0821216330722503,0.0441153846153846,0.1298481127172323,1.0,0.925,0.5330808643350412,0.660952380952381,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,1.0,2,11,2000,3.4128,24.21,False,0.054767682395124,0.9588774452748692,0.0804019023039916,0.0402692307692307,0.1565313109722067,1.0,0.955,0.5547994986622743,0.6507142857142858,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,1.0,2,12,2000,2.876,24.21,False,0.0413569726225102,0.9882050789492268,0.0782223894121904,0.043076923076923,0.1351887650590726,1.0,0.925,0.5489389326546822,0.6571428571428571,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.0,0,0,2000,16.9364,39.34,True,0.0173965683858213,1.0395661345971443,0.0330623055426054,0.0182281076830452,0.1450663447476722,1.0,0.905,0.8984456641838596,0.734570372378266,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.0,0,1,2000,15.56,39.95,False,0.0305448428035741,1.0455847433777274,0.0540657541176397,0.0227804194773121,0.2514773082065366,1.0,0.89525,0.9242381321596588,0.6622920693691976,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,1.0,2,8,2000,2.5355,24.21,False,0.0568870326469287,0.908843731883209,0.0961436380126544,0.04,0.1307115374365023,1.0,0.955,0.6325479117303577,0.6664285714285715,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.0,0,2,2000,14.1851,40.18,False,0.0367644876421874,1.0445502963682185,0.0617349215635801,0.0246836902699448,0.3030820150299023,1.0,0.87925,0.9401298220823988,0.6110036777369667,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.0,0,4,2000,15.6143,39.8,False,0.0417014797445042,0.970055935357215,0.0598461686266066,0.0365527356948898,0.4091998617496049,1.0,0.87475,0.9522998877129908,0.5659866739740037,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
